,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,cluster,label
160,69,4,202,1.86,2,0,1
161,79,30,28,0.26,1,0,1
162,135,2,309,2.86,2,0,0
163,250,3,14,0.13,1,3,1
164,250,3,4,0.08,1,3,0
165,250,2,80,2.17,1,3,0
166,80,3,2,0.04,1,0,0
167,70,2,294,3.47,3,0,1
168,165,2,150,1.4,3,3,0
169,70,2,166,1.66,1,0,1
170,50,2,47,0.94,1,0,1
171,40,1,219,2.04,3,0,1
172,150,2,193,1.78,1,0,0
173,125,1,84,0.78,4,0,1
174,196,3,114,1.06,1,3,0
175,110,2,213,2.0,2,0,1
176,170,3,86,0.8,1,3,0
177,165,3,80,0.75,3,3,0
178,150,26,38,0.36,1,0,0
179,100,2,18,1.79,1,0,0
180,65,2,206,1.92,2,0,1
181,350,8,10,0.11,5,3,0
182,99,4,122,1.18,2,0,1
183,200,4,33,0.58,1,3,0
184,150,5,52,0.5,1,0,0
185,90,3,126,1.17,4,0,1
186,120,3,51,0.48,3,0,1
187,75,3,199,1.85,1,0,1
188,175,26,30,0.29,1,3,0
189,125,3,3,0.03,1,0,0
190,275,1,41,0.38,1,3,0
191,299,2,109,1.04,1,3,0
192,135,5,151,1.43,3,0,0
194,83,1,285,2.69,1,0,1
195,123,1,375,3.52,1,0,1
196,55,2,52,0.49,2,0,1
197,195,5,10,1.01,1,3,0
198,80,2,11,0.48,1,0,1
199,98,30,33,0.31,5,0,0
200,140,7,6,0.06,5,0,1
201,265,7,38,0.38,5,3,0
202,249,2,358,3.44,2,3,0
203,105,6,10,0.09,1,0,2
205,100,2,226,2.12,3,0,1
206,121,1,104,1.0,5,0,0
207,45,1,138,1.45,3,0,1
208,100,5,204,1.92,1,0,1
209,140,2,253,3.04,1,0,0
210,71,2,23,0.22,1,0,1
211,130,2,115,1.17,1,0,1
212,199,5,129,1.22,1,3,0
213,69,4,82,1.13,2,0,1
214,68,3,37,0.35,1,0,1
215,130,1,204,2.04,1,0,0
216,195,2,69,0.65,1,3,0
217,64,1,192,1.84,5,0,1
218,140,2,17,0.16,1,0,0
219,159,2,222,2.12,1,0,0
220,189,3,205,1.96,1,3,0
221,250,3,94,0.96,1,3,0
222,239,3,7,0.07,1,3,0
223,305,2,108,1.09,1,3,0
224,155,3,222,2.1,2,0,0
225,60,1,458,4.58,2,0,1
226,135,2,21,0.26,1,0,1
227,120,7,17,0.3,1,0,1
228,150,3,41,0.39,1,0,0
229,140,14,1,0.01,5,0,0
230,135,2,69,0.67,1,0,0
231,250,4,18,0.18,2,3,0
232,250,30,82,0.78,1,3,0
233,500,4,94,0.99,1,1,0
234,225,5,10,0.1,1,3,0
235,125,28,183,1.83,2,0,0
236,92,1,189,1.82,5,0,1
237,175,2,1,0.11,1,3,1
238,99,2,127,1.22,1,0,0
239,195,4,4,0.04,1,3,0
240,140,3,135,1.3,3,0,0
241,135,2,21,0.2,1,0,0
242,500,2,35,0.34,1,1,0
243,80,14,10,2.21,2,0,1
244,120,4,171,1.8,2,0,1
245,110,200,92,0.9,1,0,0
246,65,3,238,2.3,1,0,0
247,130,50,56,0.58,1,0,0
248,99,3,111,2.13,1,0,0
249,36,2,193,1.85,6,0,1
250,37,2,147,1.44,6,0,1
251,37,2,177,1.71,6,0,1
252,175,3,185,1.78,2,3,0
253,205,9,62,0.7,2,3,0
254,285,3,124,1.22,3,3,0
255,59,2,181,1.77,2,0,1
256,36,2,333,3.19,6,0,1
257,99,5,441,4.5,1,0,0
258,39,1,45,0.46,2,0,1
259,60,14,9,0.09,2,0,1
261,105,2,38,0.5,13,0,0
262,135,2,248,2.39,2,0,0
263,390,5,143,1.38,2,3,0
264,70,3,36,0.41,4,0,1
266,60,17,14,0.14,4,0,1
268,100,3,279,2.69,1,0,1
269,70,4,18,0.22,4,0,1
270,110,6,50,3.55,1,0,1
271,60,2,227,2.27,2,0,1
272,90,14,1,0.16,1,0,0
273,68,2,203,1.96,2,0,1
274,115,2,210,2.1,1,0,0
275,75,5,64,0.67,1,0,1
277,129,7,5,0.15,1,0,0
278,130,10,49,0.48,1,0,0
279,95,4,132,1.27,1,0,0
280,75,3,20,0.26,1,0,1
281,175,2,11,0.11,1,3,0
282,190,3,51,0.57,1,3,0
283,49,21,15,0.15,5,0,1
284,212,3,67,1.31,1,3,0
285,95,1,109,1.11,3,0,1
286,140,2,9,0.11,1,0,0
287,135,6,187,1.87,1,0,0
288,150,2,214,2.08,2,0,0
289,190,3,69,0.79,2,3,0
290,124,28,22,0.26,1,0,0
291,135,30,56,0.56,1,0,0
292,122,3,93,0.93,1,0,1
293,109,1,104,1.05,2,0,1
294,85,30,64,0.68,1,0,1
295,145,3,127,1.25,2,0,0
296,195,11,30,0.32,1,3,0
297,250,2,106,1.34,3,3,0
298,125,3,6,0.1,1,0,1
299,575,2,191,1.88,1,1,0
300,150,30,48,0.55,1,0,0
301,70,5,47,0.49,1,0,1
302,90,2,120,1.27,1,0,1
303,65,3,52,0.63,1,0,1
304,500,2,48,0.48,4,1,0
305,250,3,32,0.43,2,3,0
306,125,25,43,0.42,1,0,0
307,200,30,39,0.44,1,3,0
308,229,1,50,0.5,1,3,0
309,90,30,4,0.35,2,0,0
310,110,13,38,0.39,1,0,0
311,59,3,29,0.36,1,0,1
312,195,4,59,0.6,1,3,0
313,169,1,68,0.67,2,3,0
314,113,14,26,0.27,3,0,0
315,250,14,31,0.31,1,3,0
316,115,2,198,2.01,1,0,0
317,55,2,1,0.01,1,0,1
318,69,2,220,2.17,2,0,1
319,150,3,286,2.81,1,0,0
320,169,2,398,3.97,3,0,0
321,179,3,36,0.36,28,3,1
322,150,3,36,0.36,1,0,1
323,135,4,6,0.1,1,0,0
324,350,6,14,0.3,1,3,0
325,120,14,76,0.76,6,0,1
326,71,2,182,1.81,1,0,1
327,349,3,8,0.09,28,3,1
328,349,3,7,0.07,28,3,1
329,165,30,34,0.51,2,3,0
330,249,3,2,0.02,28,3,1
331,100,3,66,0.68,2,0,1
332,200,3,80,0.85,2,3,0
333,169,4,240,2.4,1,3,0
334,185,3,46,1.07,1,3,0
335,65,2,228,2.27,1,0,0
336,130,35,5,0.05,1,0,0
337,199,30,8,0.11,1,3,0
338,225,2,33,0.33,1,3,0
339,179,3,13,0.14,28,3,1
340,150,5,5,0.05,1,0,0
341,139,1,388,3.88,1,0,0
342,95,3,223,2.22,2,0,1
343,79,15,11,0.11,5,0,0
344,150,2,151,1.51,2,0,0
346,90,3,218,2.26,4,0,0
347,120,2,75,0.76,2,0,0
348,80,1,42,1.21,2,0,1
350,175,2,370,3.74,1,3,0
351,120,5,104,1.04,1,0,0
352,140,7,13,0.13,1,0,0
353,200,5,4,0.07,1,3,0
354,165,4,11,0.11,3,3,1
355,125,4,1,0.01,3,0,0
356,130,30,19,0.19,1,0,0
357,65,7,131,1.31,2,0,2
358,123,30,15,0.15,1,0,0
359,67,2,136,1.37,1,0,1
361,130,7,98,0.99,1,0,0
362,100,3,31,0.31,1,0,1
363,212,21,45,0.46,1,3,0
364,190,3,124,1.76,1,3,0
365,599,3,9,0.09,28,1,1
366,249,5,166,1.68,2,3,0
367,70,27,13,0.13,1,0,1
368,100,30,15,0.16,5,0,0
369,60,3,380,3.83,2,0,1
370,135,2,86,0.87,1,0,0
371,175,3,248,2.53,3,3,0
372,120,5,49,0.56,1,0,0
373,169,18,54,0.57,1,3,0
374,165,7,3,0.03,1,3,0
375,90,1,1,0.02,1,0,1
376,225,2,56,0.57,1,3,0
377,95,2,163,1.66,2,0,1
378,55,2,247,2.51,2,0,1
379,85,10,116,1.17,1,0,1
380,199,14,27,0.28,2,3,0
381,211,1,52,0.6,3,3,0
382,145,6,39,0.4,1,0,0
383,65,14,35,0.35,1,0,1
384,99,1,320,3.23,1,0,0
385,110,4,30,0.32,1,0,0
386,80,3,225,2.27,4,0,0
387,150,30,95,0.96,1,0,0
388,110,4,70,0.75,1,0,0
389,290,2,35,0.36,1,3,1
391,190,4,50,0.51,1,3,0
392,200,2,29,0.31,1,3,0
393,165,2,23,0.23,2,3,0
394,110,2,142,1.44,2,0,0
395,395,2,70,0.73,1,3,0
396,99,2,38,0.54,2,0,1
397,39,1,82,0.94,2,0,1
398,189,2,403,4.1,3,3,0
399,85,1,3,0.03,1,0,1
400,260,30,3,0.03,1,3,0
401,122,1,116,1.18,5,0,0
402,165,2,175,1.79,1,0,0
403,97,3,28,1.21,3,0,0
404,170,4,24,0.25,1,3,0
405,125,2,15,0.15,1,0,0
406,130,4,105,1.07,1,0,1
407,225,10,22,0.38,1,3,0
408,50,2,263,2.69,2,0,1
409,170,3,86,0.91,2,3,0
410,132,4,10,0.1,1,0,0
411,250,7,18,0.21,1,3,0
412,141,5,8,0.21,1,0,0
413,64,20,70,0.73,1,0,0
414,249,3,150,1.55,1,3,0
415,79,2,115,1.18,1,0,1
416,185,2,69,0.71,1,3,0
417,120,3,232,2.41,1,0,0
418,495,1,35,0.41,1,1,0
419,375,3,18,0.21,1,3,0
420,175,3,68,0.69,1,3,0
421,150,4,22,0.23,1,0,0
422,259,8,17,0.17,1,3,0
423,96,1,34,0.58,1,0,1
424,145,7,8,0.08,1,0,0
426,95,5,2,0.08,1,0,0
427,250,4,52,0.72,1,3,0
428,295,2,74,0.76,2,3,0
429,175,3,18,0.19,1,3,0
430,451,2,72,0.86,1,1,0
431,165,2,191,2.18,1,0,0
433,77,1,197,2.49,1,0,0
434,250,4,19,0.2,1,3,0
435,129,1,414,4.34,1,0,0
436,98,2,8,0.09,4,0,1
438,95,7,25,0.3,1,0,1
439,55,3,119,1.22,5,0,1
440,300,2,203,2.14,3,3,0
441,42,40,53,0.55,3,0,1
442,125,2,104,1.09,1,0,0
443,175,3,175,1.8,1,3,1
444,75,3,38,0.42,3,0,1
445,255,45,39,0.5,1,3,0
446,72,31,88,0.91,1,0,0
447,165,1,27,0.28,4,3,1
448,165,5,117,1.28,1,3,0
449,75,3,43,0.44,2,0,1
450,130,5,4,0.05,1,0,0
451,139,2,385,4.0,1,0,0
452,88,1,64,0.68,3,0,1
453,80,1,39,0.41,3,0,1
454,150,2,37,1.79,1,0,1
455,200,3,10,0.12,1,3,0
456,200,2,103,1.08,1,3,0
457,42,40,41,0.43,3,0,1
458,90,6,3,0.03,1,0,1
459,295,3,227,2.33,1,3,0
460,450,5,37,0.79,1,1,0
461,130,2,29,0.35,1,0,0
462,89,3,205,2.31,3,0,1
463,198,5,42,0.44,2,3,0
464,99,2,280,2.92,3,0,0
465,46,4,86,0.89,3,0,1
466,140,2,54,0.56,1,0,1
467,500,7,7,0.07,1,1,0
468,75,5,57,0.59,2,0,1
469,33,44,31,0.32,3,0,1
470,250,31,188,1.94,1,3,0
471,60,3,480,6.7,1,0,1
472,75,2,34,0.35,1,0,1
473,350,5,6,0.06,1,3,0
474,205,9,3,0.04,2,3,0
475,219,5,2,0.03,1,3,0
476,60,1,20,0.21,6,0,1
477,185,2,129,1.33,1,3,0
478,190,3,147,1.6,1,3,0
479,105,28,101,1.06,1,0,0
480,250,2,11,0.12,2,3,0
481,175,65,11,0.12,1,3,0
482,65,2,41,0.43,2,0,1
483,75,2,87,1.09,1,0,0
484,37,4,117,1.21,1,0,1
485,85,2,86,0.89,2,0,0
487,79,2,15,0.16,1,0,0
488,85,2,35,0.55,2,0,1
489,170,2,17,0.18,2,3,1
490,115,3,3,0.04,2,0,1
491,89,5,43,0.47,2,0,1
492,49,3,168,4.6,1,0,2
493,91,3,241,2.49,1,0,1
494,400,2,105,1.13,1,3,0
495,150,2,11,0.46,1,0,0
496,2000,30,30,0.33,11,4,0
497,97,3,31,0.32,1,0,0
498,100,4,49,0.51,2,0,1
499,179,4,23,0.24,1,3,0
500,500,2,20,0.21,2,1,0
501,429,10,18,0.9,1,3,0
502,189,6,90,0.95,1,3,0
503,120,2,99,1.04,1,0,1
504,300,1,6,0.06,3,3,0
505,107,30,21,0.22,8,0,0
506,95,30,24,0.26,8,0,0
507,199,2,111,1.17,1,3,0
508,120,2,86,0.91,1,0,0
509,199,15,66,0.69,2,3,0
510,125,2,271,2.84,2,0,0
511,70,2,227,2.4,1,0,1
512,75,4,80,1.55,1,0,1
513,100,30,5,0.07,1,0,1
514,99,2,187,1.97,2,0,0
515,250,1,2,0.02,1,3,0
516,350,6,1,0.02,1,3,0
517,170,3,67,0.7,1,3,0
518,165,1,63,0.68,1,3,0
519,99,1,89,1.0,1,0,1
520,255,4,1,0.02,1,3,1
521,169,3,177,1.86,1,3,0
522,99,4,90,0.94,1,0,0
523,169,7,39,0.41,1,3,0
524,160,3,42,0.44,1,0,0
525,215,3,33,0.35,1,3,0
526,130,3,179,2.02,1,0,0
527,110,3,81,0.85,2,0,1
528,150,28,43,0.45,2,0,1
529,65,30,52,0.54,1,0,1
530,75,2,160,1.68,1,0,1
531,149,6,23,0.27,2,0,0
532,89,6,35,0.37,1,0,1
533,50,1,225,2.35,1,0,1
534,43,1,401,6.62,2,0,1
535,42,1,72,0.84,2,0,1
536,85,1,46,0.97,1,0,1
537,139,3,83,1.19,1,0,0
538,105,1,211,2.21,2,0,1
539,265,5,15,0.16,1,3,0
540,149,1,122,1.29,1,0,0
541,68,2,295,3.9,2,0,1
542,99,3,207,2.18,1,0,0
543,75,3,50,0.65,2,0,1
544,100,2,273,2.85,1,0,1
546,160,30,25,0.26,1,0,0
547,190,4,105,1.62,1,3,0
548,67,4,72,0.76,3,0,1
549,190,1,8,0.08,1,3,0
550,248,2,58,0.61,6,3,0
551,100,6,8,0.09,1,0,1
552,95,3,172,1.84,2,0,1
553,150,1,330,7.14,1,0,1
554,145,3,123,1.29,1,0,0
555,41,2,55,0.59,1,0,1
556,120,4,87,0.99,1,0,0
557,50,3,258,2.7,2,0,1
558,157,2,4,0.18,1,0,0
559,195,14,31,0.33,1,3,0
560,70,4,128,1.34,2,0,0
561,185,3,14,0.15,1,3,0
562,145,3,30,0.32,3,0,0
563,50,28,258,2.9,1,0,1
564,185,3,228,2.39,3,3,0
565,250,1,60,0.65,1,3,0
566,80,90,9,0.2,1,0,1
567,230,2,179,1.88,1,3,0
568,100,7,9,0.1,1,0,0
569,40,1,1,0.37,1,0,1
570,200,30,25,0.49,1,3,1
571,80,2,2,0.05,1,0,1
572,79,3,152,1.6,3,0,1
573,95,30,24,0.25,8,0,0
574,300,2,45,0.47,3,3,0
575,100,30,7,0.08,1,0,0
576,80,7,19,0.35,1,0,1
577,110,1,24,0.26,1,0,0
578,172,4,8,0.09,2,3,0
579,199,1,29,0.31,2,3,0
580,199,1,14,0.15,2,3,0
581,100,1,33,0.38,1,0,1
582,55,4,99,1.04,1,0,1
583,75,3,59,0.62,3,0,1
584,146,3,142,1.5,1,0,0
586,116,29,22,0.23,1,0,0
587,150,3,82,0.87,2,0,1
588,120,2,23,0.24,6,0,1
589,199,4,32,0.34,1,3,0
590,150,5,24,0.25,1,0,0
591,69,1,59,0.63,2,0,1
592,300,55,6,0.08,2,3,1
593,230,4,18,0.21,1,3,0
594,125,4,3,0.03,1,0,0
595,79,3,115,1.21,3,0,1
596,130,3,154,1.63,2,0,1
597,239,1,164,1.73,11,3,1
598,75,6,76,0.8,1,0,0
599,220,3,116,1.23,2,3,0
600,80,3,234,2.47,4,0,0
601,288,2,120,1.27,1,3,0
602,135,4,82,0.87,1,0,0
603,225,3,13,0.15,1,3,0
604,110,30,59,0.64,1,0,1
605,100,7,63,1.87,1,0,0
606,130,2,52,0.55,1,0,1
607,89,1,278,2.95,3,0,1
608,200,5,1,0.01,1,3,0
609,80,2,35,0.4,1,0,0
610,50,5,235,2.49,2,0,1
611,135,28,115,1.21,2,0,0
612,90,1,109,1.15,1,0,1
613,270,5,1,0.01,1,3,1
614,110,3,305,3.24,1,0,0
615,145,1,102,1.52,1,0,0
616,179,30,83,0.88,1,3,0
617,55,1,19,0.25,1,0,1
618,110,2,61,0.65,1,0,1
619,325,5,89,0.94,1,3,0
620,75,30,65,0.74,3,0,1
621,300,1,40,0.44,1,3,0
622,130,30,80,0.86,2,0,1
623,190,30,136,1.45,1,3,0
624,200,3,100,1.06,1,3,0
625,180,2,125,1.36,3,3,0
626,350,5,40,0.5,1,3,0
628,195,30,139,1.59,4,3,0
630,300,7,2,0.03,1,3,0
631,75,28,49,0.53,1,0,0
632,100,5,8,0.11,1,0,0
634,85,5,124,1.32,1,0,1
635,80,21,5,0.12,1,0,0
636,55,1,147,1.57,1,0,1
637,438,1,43,0.46,11,3,1
638,110,6,8,0.33,1,0,0
639,200,2,37,0.39,1,3,0
640,279,1,120,1.28,11,3,1
641,137,1,24,0.29,1,0,0
642,280,3,5,0.05,1,3,0
643,199,30,242,2.59,1,3,0
644,71,4,229,2.45,1,0,1
645,42,2,108,1.36,2,0,1
646,180,2,181,1.92,1,3,0
647,226,5,34,0.39,1,3,0
648,85,3,5,0.05,1,0,1
649,135,1,5,0.06,1,0,0
650,79,4,60,0.64,2,0,0
651,154,1,238,2.59,1,0,0
652,199,3,34,0.37,28,3,0
653,700,3,131,1.4,4,1,0
654,246,4,6,0.16,1,3,0
655,125,60,4,0.06,1,0,1
656,100,1,7,0.08,4,0,1
657,295,5,125,3.04,1,3,0
659,119,1,49,0.58,1,0,0
660,125,1,11,0.12,2,0,1
662,850,3,107,1.15,1,1,0
663,129,2,241,2.6,1,0,1
664,140,1,176,1.89,1,0,1
665,115,4,151,1.63,2,0,1
666,200,3,49,0.53,2,3,0
667,96,120,13,0.14,1,0,0
668,199,3,33,0.47,28,3,0
669,199,3,24,0.32,28,3,0
670,199,3,59,0.66,28,3,0
671,69,1,2,0.04,1,0,1
672,185,2,16,0.23,1,3,0
673,81,2,72,0.77,1,0,1
674,199,3,24,0.26,28,3,0
675,199,3,23,0.26,28,3,0
676,199,3,43,0.47,28,3,0
677,199,3,30,0.32,28,3,0
678,199,3,39,0.44,28,3,0
679,349,3,8,0.09,28,3,1
680,249,3,3,0.03,28,3,1
681,299,3,6,0.1,28,3,1
682,179,3,4,0.05,28,3,1
683,54,5,56,0.66,3,0,1
684,599,3,7,0.08,28,1,1
685,110,1,2,0.03,1,0,0
686,220,2,178,2.69,1,3,0
687,89,30,30,0.8,1,0,1
688,170,2,190,2.04,1,3,0
689,495,7,25,0.27,2,1,0
690,80,10,81,0.98,2,0,0
691,760,2,7,0.08,1,1,0
692,98,4,216,2.31,1,0,1
693,125,30,31,0.33,1,0,0
694,48,90,53,0.57,2,0,1
695,64,3,247,2.65,2,0,1
696,154,3,233,2.5,1,0,0
697,139,3,135,1.45,1,0,0
698,75,4,20,0.23,1,0,1
699,325,4,46,0.5,1,3,0
700,195,365,10,0.12,1,3,0
701,58,1,143,2.83,1,0,1
702,250,2,21,0.26,4,3,0
704,125,2,8,0.09,4,0,0
705,70,7,4,0.05,2,0,0
706,189,2,314,3.45,2,3,0
707,130,3,18,0.25,1,0,0
708,145,7,11,0.12,1,0,0
709,101,7,51,0.55,1,0,1
710,95,5,20,0.33,1,0,1
711,375,7,8,0.12,1,3,0
712,153,31,59,0.63,1,0,0
713,92,4,54,0.62,1,0,0
714,80,5,10,0.46,1,0,1
715,300,4,153,1.66,4,3,0
716,145,3,110,1.2,1,0,0
717,88,2,69,0.91,2,0,1
718,155,1,1,0.18,1,0,0
719,185,180,24,0.26,1,3,0
720,73,2,95,1.02,2,0,1
721,225,2,129,1.41,1,3,0
722,85,7,171,1.84,2,0,1
723,99,2,20,0.59,1,0,1
724,48,90,17,0.27,2,0,1
725,200,5,8,0.09,1,3,0
726,485,7,11,0.12,1,1,0
727,310,5,5,0.09,1,3,0
729,109,30,36,0.39,5,0,0
730,167,30,16,0.17,5,3,0
731,147,15,5,0.12,1,0,0
733,195,4,68,0.77,1,3,0
734,199,28,89,0.99,1,3,0
735,65,30,10,1.02,1,0,1
736,55,1,38,0.85,1,0,1
737,50,2,15,0.17,1,0,1
738,60,2,20,0.42,1,0,1
739,99,3,25,0.96,2,0,1
740,130,2,35,0.42,1,0,0
741,290,30,1,0.01,1,3,0
742,350,3,64,0.7,1,3,0
743,50,3,26,0.33,1,0,1
744,96,2,244,2.74,1,0,1
745,45,15,21,0.29,3,0,1
746,85,2,270,2.95,2,0,1
747,34,10,16,0.19,3,0,1
748,250,3,24,0.26,1,3,0
749,190,1,30,0.33,2,3,1
750,75,2,5,0.06,2,0,1
751,93,4,115,1.25,1,0,0
752,60,5,9,0.19,2,0,1
753,65,5,45,0.52,2,0,1
754,125,365,19,0.21,1,0,0
755,300,3,5,0.08,1,3,0
756,150,2,203,2.22,1,0,0
757,56,122,20,0.41,1,0,0
758,299,3,49,0.53,1,3,0
759,60,4,6,0.07,1,0,1
760,88,5,7,0.08,1,0,0
761,60,2,35,0.38,2,0,1
762,1300,5,28,0.31,4,1,0
764,99,2,54,0.88,1,0,1
765,110,3,115,1.75,2,0,0
766,135,5,6,0.13,1,0,0
767,110,15,1,0.02,1,0,0
768,165,3,204,2.31,1,0,0
769,127,180,1,0.03,1,0,0
770,402,3,89,0.97,1,3,0
771,85,6,130,1.42,2,0,1
772,75,7,15,0.25,3,0,1
773,139,30,52,0.6,1,0,0
774,70,6,58,0.63,1,0,0
775,50,3,208,2.32,1,0,1
776,30,5,3,0.03,1,0,1
777,250,30,7,0.08,1,3,0
778,64,1,1,0.04,1,0,1
779,300,3,2,0.06,1,3,0
780,800,4,122,1.37,1,1,0
781,100,3,63,0.72,2,0,0
782,250,5,26,0.28,1,3,0
783,200,27,1,0.01,1,3,0
784,140,5,14,0.16,1,0,0
785,130,1,107,2.38,1,0,1
786,90,30,3,0.05,1,0,0
787,90,3,107,1.17,1,0,0
788,97,3,29,1.57,1,0,1
789,91,6,69,0.76,1,0,0
790,125,3,232,2.52,1,0,1
792,180,7,24,0.26,2,3,0
794,100,19,5,0.06,2,0,0
795,175,3,10,0.23,1,3,0
796,65,4,36,0.47,2,0,1
797,240,5,94,1.1,1,3,0
798,300,6,1,0.01,1,3,1
799,385,1,63,0.71,1,3,0
800,47,15,5,0.06,1,0,1
801,110,3,238,2.6,1,0,0
802,75,2,101,1.1,1,0,1
803,100,3,21,0.23,3,0,0
