,suit1,card1,suit2,card2,suit3,card3,suit4,card4,labels,cluster
460,2,8,1,10,2,2,4,9,0,5
461,3,13,2,2,1,11,4,12,0,7
462,1,3,1,1,4,6,3,2,0,5
463,2,12,1,5,2,13,1,11,0,2
464,3,4,2,10,3,13,2,6,0,4
465,4,7,2,9,2,7,4,6,0,7
466,4,13,1,7,4,11,1,11,0,4
467,1,2,4,6,3,4,4,8,0,0
468,2,2,4,9,1,6,1,8,0,0
469,4,11,3,3,3,6,2,11,0,6
470,4,13,1,9,3,7,3,11,0,7
471,2,1,4,12,1,4,1,7,0,0
472,2,3,2,6,2,9,2,7,0,2
473,2,11,1,4,3,7,2,1,0,8
474,3,13,4,8,1,2,1,11,0,0
475,2,9,4,5,1,3,1,11,0,0
476,3,1,1,1,3,6,4,1,1,7
477,2,9,3,3,1,4,3,1,0,1
478,4,12,1,12,3,12,2,13,1,4
479,4,10,4,12,2,9,2,4,0,0
480,3,3,3,13,3,2,3,11,0,6
481,1,3,3,3,1,13,1,6,0,1
482,3,6,3,5,1,13,1,6,0,1
483,1,13,4,6,4,2,3,2,1,0
484,1,11,4,11,1,5,3,1,0,0
485,4,13,2,12,2,9,3,6,0,7
486,1,5,2,5,3,2,3,1,0,5
487,1,4,4,4,2,12,1,3,0,0
488,1,5,3,9,1,6,3,3,0,1
489,2,2,1,8,4,6,3,4,0,5
490,3,1,1,5,4,5,3,9,0,7
491,2,13,1,9,3,8,4,1,0,5
492,1,9,1,8,3,10,4,10,1,5
493,1,2,3,10,2,11,2,6,0,6
494,2,6,4,11,4,6,4,5,0,0
495,4,10,2,13,2,2,3,10,0,7
496,3,6,2,12,3,3,2,3,0,4
497,2,10,4,5,2,13,2,2,0,0
498,4,7,3,3,2,5,2,8,0,6
499,4,10,1,9,1,4,2,4,0,3
500,2,9,3,7,1,13,2,13,0,1
501,1,10,2,6,2,12,2,5,0,2
502,2,3,1,11,3,4,2,2,0,8
503,2,8,1,4,4,13,1,3,0,8
504,3,10,4,10,1,5,3,4,0,0
505,2,12,4,12,4,11,1,4,0,0
506,2,10,3,6,4,4,4,8,0,6
507,4,3,3,9,2,12,3,5,0,6
508,3,7,2,6,3,1,1,11,0,4
509,3,10,2,9,2,13,2,6,0,3
510,3,10,3,5,3,13,2,3,0,6
511,1,13,2,10,2,6,3,13,0,5
512,1,3,3,9,3,12,3,6,0,6
513,4,4,2,4,1,4,3,1,1,7
514,4,8,4,10,3,5,2,12,0,0
515,4,6,2,3,4,13,2,10,0,4
516,4,12,1,10,1,13,1,4,0,3
517,2,6,3,11,2,7,4,4,0,1
518,2,6,2,12,3,4,3,13,0,5
519,1,11,1,9,4,11,2,13,0,8
520,3,10,2,12,2,10,3,2,0,7
521,3,5,1,7,1,9,4,12,0,7
522,4,10,3,1,4,2,4,7,0,6
523,2,7,4,11,4,12,2,12,0,0
524,4,5,2,3,3,4,4,10,0,7
525,2,3,4,8,1,6,4,12,0,0
526,1,11,1,7,4,10,4,12,0,5
527,3,4,4,4,4,10,4,13,0,0
528,2,2,2,1,4,12,4,13,0,5
529,3,3,2,7,3,5,3,6,0,7
530,1,8,3,9,2,6,4,11,0,1
531,2,13,2,8,1,8,4,10,0,5
532,4,3,3,3,3,8,1,5,0,6
533,4,12,1,1,1,3,3,11,0,7
534,2,3,3,6,2,13,4,3,0,1
535,3,4,4,7,2,12,2,7,0,0
536,3,12,2,7,4,6,3,11,0,7
537,3,7,1,7,3,5,2,4,0,4
538,2,2,2,3,3,8,3,7,0,5
539,2,6,1,10,2,10,2,4,0,2
540,3,7,1,6,4,13,3,2,0,7
541,2,1,3,12,3,8,1,8,0,6
542,1,5,4,4,2,11,1,1,0,0
543,1,7,1,13,4,8,2,3,0,8
544,3,13,4,7,2,10,2,6,0,0
545,1,7,4,11,4,10,2,2,0,0
546,2,13,2,3,4,13,1,3,0,8
547,4,3,2,4,4,13,2,11,0,4
548,3,7,4,11,2,5,4,4,0,0
549,4,4,4,7,4,12,2,9,0,0
550,3,12,3,11,4,4,2,3,0,6
551,2,12,3,3,1,7,3,6,0,1
552,3,8,1,8,3,6,2,6,0,4
553,3,1,3,5,1,7,1,8,0,1
554,4,1,2,1,2,7,3,6,0,7
555,3,7,2,10,3,10,2,8,0,4
556,4,1,4,10,3,3,2,5,0,0
557,1,9,1,12,3,5,4,1,0,5
558,3,4,3,13,3,8,2,3,0,6
559,1,12,4,5,2,3,3,13,0,0
560,1,10,2,7,3,4,4,9,0,5
561,4,4,3,7,1,7,2,12,0,1
562,2,9,3,13,1,10,2,7,0,1
563,3,11,4,5,2,1,3,9,0,0
564,2,2,2,11,2,13,3,11,0,5
565,3,4,1,3,1,11,2,3,0,3
566,4,2,1,4,2,9,3,5,0,7
567,2,1,1,9,2,10,4,6,0,5
568,3,6,2,6,4,10,1,7,0,4
569,3,12,2,8,4,11,3,6,0,7
570,4,4,2,8,2,2,2,10,0,3
571,2,9,3,13,4,6,2,13,0,6
572,1,7,3,11,1,1,1,4,0,1
573,2,1,2,7,1,2,3,2,0,5
574,1,3,2,12,3,1,1,2,0,8
575,4,12,2,12,1,4,1,3,0,3
576,3,11,2,8,1,2,3,1,0,3
577,2,1,4,7,3,9,1,11,0,0
578,1,7,3,9,4,10,2,13,0,6
579,4,7,3,10,3,11,1,11,0,6
580,3,13,3,8,3,1,4,4,0,6
581,3,2,3,8,3,9,2,10,0,6
582,2,9,3,11,4,4,1,4,0,6
583,2,9,3,1,3,3,4,13,0,6
584,1,10,2,2,4,12,4,10,0,5
585,1,1,4,4,1,8,2,1,0,0
586,1,11,4,7,1,5,3,1,0,0
587,4,7,1,5,4,2,4,5,0,7
588,4,4,3,6,1,2,2,5,0,1
589,1,13,1,8,2,13,1,10,0,2
590,1,13,3,9,3,6,2,2,0,6
591,4,6,4,7,3,4,2,9,0,0
592,4,9,1,11,1,10,3,7,0,3
593,1,9,4,13,2,5,4,5,0,0
594,3,7,2,3,3,11,3,3,0,7
595,1,12,4,1,3,12,4,4,0,0
596,2,1,2,7,3,9,3,11,0,5
597,1,7,1,12,4,11,2,4,0,8
598,2,7,1,3,2,4,4,9,0,5
599,1,6,2,2,4,12,4,11,0,5
600,3,2,2,8,4,10,2,5,0,4
601,4,10,3,2,2,1,3,13,0,6
602,4,12,3,7,1,3,3,8,0,1
603,4,6,3,13,4,1,2,13,0,6
604,2,1,4,10,2,7,3,9,0,0
605,3,11,3,1,2,3,3,12,0,6
606,2,2,3,13,2,13,3,11,0,6
607,2,6,3,13,2,7,4,8,0,1
608,1,3,1,7,4,11,3,10,0,5
609,4,6,2,7,3,11,1,9,0,4
610,4,8,1,3,2,13,4,10,0,7
611,3,4,1,10,4,11,2,13,0,4
612,2,13,1,6,3,7,4,2,0,5
613,3,8,4,7,4,12,2,5,0,0
614,2,10,3,8,1,3,3,10,0,1
615,4,2,1,9,1,6,1,5,0,3
616,3,2,2,3,2,1,2,9,0,3
617,3,1,4,8,1,9,2,12,0,0
618,4,1,1,6,1,2,3,10,0,7
619,2,6,2,3,1,9,2,7,0,2
620,2,8,2,10,1,6,3,10,0,5
621,4,11,3,4,3,2,1,13,0,6
622,4,4,2,9,2,13,1,9,0,3
623,3,6,4,4,3,2,2,1,0,0
624,1,5,1,10,1,3,4,9,0,5
625,4,12,3,4,4,9,3,1,0,6
626,4,13,1,2,1,8,4,4,0,7
627,2,5,3,1,4,5,4,1,0,6
628,3,7,4,5,4,11,1,8,0,0
629,3,13,2,12,2,11,3,2,0,7
630,2,12,3,7,1,12,4,8,0,1
631,4,8,1,4,4,5,1,5,0,4
632,4,3,1,1,3,11,1,5,0,4
